1st level,2nd level,3rd level,category.name,category.desc,project.name,project.link,link.git,project.desc
Parser,Parser,CLI,CLI,Libraries for everything related to the CLI.,Airline,https://github.com/airlift/airline,TRUE,Annotation-based framework for parsing Git-like command-line arguments.
Parser,Parser,CLI,CLI,Libraries for everything related to the CLI.,args4j,https://github.com/kohsuke/args4j,TRUE,Small library to parse command-line arguments.
CLI,CLI,CLI,CLI,Libraries for everything related to the CLI.,Jansi,https://github.com/fusesource/jansi,TRUE,ANSI escape codes to format console output.
CLI,CLI,CLI,CLI,Libraries for everything related to the CLI.,Java ASCII Render,https://github.com/indvd00m/java-ascii-render,TRUE,Graphical primitives for the console.
Parser,Parser,CLI,CLI,Libraries for everything related to the CLI.,JCommander,https://github.com/cbeust/jcommander,TRUE,Command-line argument-parsing framework with custom types and validation via implementing interfaces.
Parser,Parser,CLI,CLI,Libraries for everything related to the CLI.,jbock,https://github.com/h908714124/jbock,TRUE,"Typesafe, reflection-free, annotation based command-line parser."
CLI,CLI,CLI,CLI,Libraries for everything related to the CLI.,Jexer,https://gitlab.com/klamonte/jexer,TRUE,Advanced console
CLI,CLI,CLI,CLI,Libraries for everything related to the CLI.,JLine,https://github.com/jline/jline3,TRUE,Includes features from modern shells like completion or history.
Parser,Parser,CLI,CLI,Libraries for everything related to the CLI.,JOpt Simple,https://github.com/jopt-simple/jopt-simple,TRUE,Fluent parser that uses the POSIX#getopt and GNU#getopt_long syntaxes.
CLI,CLI,CLI,CLI,Libraries for everything related to the CLI.,picocli,https://github.com/remkop/picocli,TRUE,"ANSI colors and styles in usage help with annotation-based POSIX/GNU/any syntax, subcommands, strong typing for both options and positional args."
CLI,CLI,CLI,CLI,Libraries for everything related to the CLI.,Text-IO,https://github.com/beryx/text-io,TRUE,Aids the creation of full console-based applications.
CLI,CLI,CLI,CLI,Libraries for everything related to the CLI.,Lanterna,https://github.com/mabe02/lanterna,TRUE,"Easy console text-GUI library, similar to curses."
Server,Server,Cluster Management,Cluster Management,Frameworks that can dynamically manage applications inside of a cluster.,Apache Aurora,https://github.com/apache/attic-aurora,TRUE,Mesos framework for long-running services and cron jobs.
Server,Server,Cluster Management,Cluster Management,Frameworks that can dynamically manage applications inside of a cluster.,Singularity,https://github.com/HubSpot/Singularity,TRUE,"Mesos framework that makes deployment and operations easy. It supports web services, background workers, scheduled jobs, and one-off tasks."
Development,Development,Code Analysis,Code Analysis,Tools that provide metrics and quality measurements.,Checkstyle,https://github.com/checkstyle/checkstyle,TRUE,Static analysis of coding conventions and standards.
Development,Development,Code Analysis,Code Analysis,Tools that provide metrics and quality measurements.,Error Prone,https://github.com/google/error-prone,TRUE,Catches common programming mistakes as compile-time errors.
Development,Development,Code Analysis,Code Analysis,Tools that provide metrics and quality measurements.,Infer,https://github.com/facebook/infer,TRUE,Modern static analysis tool for verifying the correctness of code.
Development,Development,Code Analysis,Code Analysis,Tools that provide metrics and quality measurements.,jQAssistant,https://github.com/jQAssistant/jqa-core-framework,TRUE,Static code analysis with Neo4J-based query language.
Development,Development,Code Analysis,Code Analysis,Tools that provide metrics and quality measurements.,NullAway,https://github.com/uber/NullAway,TRUE,Eliminates NullPointerExceptions with low build-time overhead.
Development,Development,Code Analysis,Code Analysis,Tools that provide metrics and quality measurements.,PMD,https://github.com/pmd/pmd,TRUE,Source code analysis for finding bad coding practices.
Development,Development,Code Analysis,Code Analysis,Tools that provide metrics and quality measurements.,SonarJava,https://github.com/SonarSource/sonar-java,TRUE,Static analyzer for SonarQube & SonarLint.
Development,Development,Code Analysis,Code Analysis,Tools that provide metrics and quality measurements.,Spoon,https://github.com/INRIA/spoon,TRUE,Library for analyzing and transforming Java source code.
Development,Development,Code Analysis,Code Analysis,Tools that provide metrics and quality measurements.,Spotbugs,https://github.com/spotbugs/spotbugs,TRUE,Static analysis of bytecode to find potential bugs.
Development,Development,Code Coverage,Code Coverage,Frameworks and tools that enable code coverage metrics collection for test suites.,Clover,https://bitbucket.org/atlassian/clover,TRUE,Relies on source-code instrumentation instead of bytecode instrumentation.
Development,Development,Code Coverage,Code Coverage,Frameworks and tools that enable code coverage metrics collection for test suites.,Cobertura,https://github.com/cobertura/cobertura,TRUE,Cobertura is a free Java code coverage reporting tool
Development,Development,Code Generators,Code Generators,Frameworks and tools that enable code coverage metrics collection for test suites.,ADT4J,https://github.com/sviperll/adt4j,TRUE,JSR-269 code generator for algebraic data types.
Development,Development,Code Generators,Code Generators,Frameworks and tools that enable code coverage metrics collection for test suites.,Auto,https://github.com/google/auto,TRUE,"Generates factory, service, and value classes."
Development,Development,Code Generators,Code Generators,Frameworks and tools that enable code coverage metrics collection for test suites.,FreeBuilder,https://github.com/inferred/FreeBuilder,TRUE,Automatically generates the Builder pattern.
Development,Development,Code Generators,Code Generators,Frameworks and tools that enable code coverage metrics collection for test suites.,Immutables,https://github.com/immutables/immutables,TRUE,"Annotation processors to generate simple, safe and consistent value objects."
Development,Development,Code Generators,Code Generators,Frameworks and tools that enable code coverage metrics collection for test suites.,JavaPoet,https://github.com/square/javapoet,TRUE,API to generate source files.
Development,Development,Code Generators,Code Generators,Frameworks and tools that enable code coverage metrics collection for test suites.,Joda-Beans,https://github.com/JodaOrg/joda-beans,TRUE,"Small framework that adds queryable properties to Java, enhancing JavaBeans."
Development,Development,Code Generators,Code Generators,Frameworks and tools that enable code coverage metrics collection for test suites.,Lombok,https://github.com/rzwitserloot/lombok,TRUE,Code generator that aims to reduce verbosity.
Development,Development,Code Generators,Code Generators,Frameworks and tools that enable code coverage metrics collection for test suites.,Telosys,https://github.com/telosys-tools-bricks/telosys-cli,TRUE,Simple and light code generator available as an Eclipse Plugin and also as a CLI.
Development,Compilercompiler,Compilercompiler,Compilercompiler,Frameworks and tools that enable code coverage metrics collection for test suites.,ANTLR,https://github.com/antlr/antlr4,TRUE,Complex full-featured framework for top-down parsing.
Development,Compilercompiler,Compilercompiler,Compilercompiler,Frameworks and tools that enable code coverage metrics collection for test suites.,JavaCC,https://github.com/javacc/javacc,TRUE,Parser generator that generates top-down parsers. Allows lexical state switching and permits extended BNF specifications.
Development,Compilercompiler,Compilercompiler,Compilercompiler,Frameworks and tools that enable code coverage metrics collection for test suites.,JFlex,https://github.com/jflex-de/jflex,TRUE,Lexical analyzer generator.
Development,Configuration,Configuration,Configuration,Libraries that provide external configuration.,centraldogma,https://github.com/line/centraldogma,TRUE,"Highly-available version-controlled service configuration repository based on Git, ZooKeeper and HTTP/2."
Development,Configuration,Configuration,Configuration,Libraries that provide external configuration.,cfg4j,https://github.com/cfg4j/cfg4j,TRUE,Modern configuration library for distributed apps written in Java.
Development,Configuration,Configuration,Configuration,Libraries that provide external configuration.,config,https://github.com/lightbend/config,TRUE,"Configuration library supporting Java properties, JSON or its human optimized superset HOCON."
Development,Configuration,Configuration,Configuration,Libraries that provide external configuration.,dotenv,https://github.com/shyiko/dotenv,TRUE,Twelve-factor configuration library which uses environment-specific files.
Development,Configuration,Configuration,Configuration,Libraries that provide external configuration.,KAConf,https://github.com/mariomac/kaconf,TRUE,Annotation-based configuration system for Java and Kotlin.
Development,Configuration,Configuration,Configuration,Libraries that provide external configuration.,microconfig,https://github.com/microconfig/microconfig,TRUE,Configuration system designed for microservices which helps to separate configuration from code. The configuration for different services can have common and specific parts and can be dynamically distributed.
Development,Configuration,Configuration,Configuration,Libraries that provide external configuration.,owner,https://github.com/lviggiano/owner,TRUE,Reduces boilerplate of properties.
Scientific/Engineering,Scientific/Engineering,Constraint Satisfaction Problem Solver,Constraint Satisfaction Problem Solver,Libraries that help with implementing optimization and satisfiability problems.,Choco,https://github.com/chocoteam/choco-solver,TRUE,Off-the-shelf constraint satisfaction problem solver that uses constraint programming techniques.
Scientific/Engineering,Scientific/Engineering,Constraint Satisfaction Problem Solver,Constraint Satisfaction Problem Solver,Libraries that help with implementing optimization and satisfiability problems.,JaCoP,https://github.com/radsz/jacop,TRUE,"Includes an interface for the FlatZinc language, enabling it to execute MiniZinc models."
Scientific/Engineering,Scientific/Engineering,Constraint Satisfaction Problem Solver,Constraint Satisfaction Problem Solver,Libraries that help with implementing optimization and satisfiability problems.,OptaPlanner,https://github.com/kiegroup/optaplanner,TRUE,Business planning and resource scheduling optimization solver.
Parser,Parser,CSV,CSV,Libraries that help with implementing optimization and satisfiability problems.,jackson-dataformat-csv,https://github.com/FasterXML/jackson-dataformat-csv,TRUE,Jackson extension for reading and writing CSV.
Parser,Parser,CSV,CSV,Libraries that help with implementing optimization and satisfiability problems.,opencsv,https://git.code.sf.net/p/opencsv/source,TRUE,Simple CSV parser.
Parser,Parser,CSV,CSV,Libraries that help with implementing optimization and satisfiability problems.,Super CSV,https://github.com/super-csv/super-csv,TRUE,"Powerful CSV parser with support for Dozer, Joda-Time and Java 8."
Parser,Parser,CSV,CSV,Libraries that help with implementing optimization and satisfiability problems.,uniVocity-parsers,https://github.com/uniVocity/univocity-parsers,TRUE,One of the fastest and most feature-complete parsers. Also comes with parsers for TSV and fixed-width records.
Data,Data Structures,Data Structures,Data Structures,Efficient and specific data structures.,Apache Orc,https://github.com/apache/orc,TRUE,Fast and efficient columnar storage format for Hadoop-based workloads.
Data,Data Structures,Data Structures,Data Structures,Efficient and specific data structures.,Apache Parquet,https://github.com/apache/parquet-mr,TRUE,Columnar storage format based on assembly algorithms from Google's paper on Dremel.
Data,Data Structures,Data Structures,Data Structures,Efficient and specific data structures.,Apache Thrift,https://github.com/apache/thrift,TRUE,Data interchange format that originated at Facebook.
Data,Data Structures,Data Structures,Data Structures,Efficient and specific data structures.,Big Queue,https://github.com/bulldog2011/bigqueue,TRUE,Fast and persistent queue based on memory-mapped files.
Data,Data Structures,Data Structures,Data Structures,Efficient and specific data structures.,HyperMinHash-java,https://github.com/LiveRamp/HyperMinHash-java,TRUE,"Probabilistic data structure for computing union, intersection, and set cardinality in loglog space."
Data,Data Structures,Data Structures,Data Structures,Efficient and specific data structures.,Persistent Collection,https://github.com/hrldcpr/pcollections,TRUE,Persistent and immutable analogue of the Java Collections Framework.
Data,Data Structures,Data Structures,Data Structures,Efficient and specific data structures.,Protobuf,https://github.com/protocolbuffers/protobuf,TRUE,Google's data interchange format.
Data,Data Structures,Data Structures,Data Structures,Efficient and specific data structures.,SBE,https://github.com/real-logic/simple-binary-encoding,TRUE,"Simple Binary Encoding, one of the fastest message formats around."
Data,Data Structures,Data Structures,Data Structures,Efficient and specific data structures.,Tape,https://github.com/square/tape,TRUE,"Lightning-fast, transactional, file-based FIFO."
Data,Data Structures,Data Structures,Data Structures,Efficient and specific data structures.,Wire,https://github.com/square/wire,TRUE,"Clean, lightweight protocol buffers."
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Apache Calcite,https://github.com/apache/calcite,TRUE,Dynamic data management framework. It contains many of the pieces that comprise a typical database management system.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Apache Drill,https://github.com/apache/drill,TRUE,"Distributed, schema on-the-fly, ANSI SQL query engine for Big Data exploration."
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Apache Phoenix,https://github.com/apache/phoenix,TRUE,High-performance relational database layer over HBase for low-latency applications.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,AranoDB,https://github.com/arangodb/arangodb-java-driver,TRUE,ArangoDB Java driver.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Chronicle Map,https://github.com/OpenHFT/Chronicle-Map,TRUE,"Efficient, in-memory"
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Debezium,https://github.com/debezium/debezium,TRUE,Low latency data streaming platform for change data capture.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,druid,https://github.com/apache/druid,TRUE,"High-performance, column-oriented, distributed data store."
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,eXist,https://github.com/eXist-db/exist,TRUE,NoSQL document database and application platform.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,FlexyPool,https://github.com/vladmihalcea/flexy-pool,TRUE,Brings metrics and failover strategies to the most common connection pooling solutions.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Flyway,https://github.com/flyway/flyway,TRUE,Simple database migration tool.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,H2,https://github.com/h2database/h2database,TRUE,Small SQL database notable for its in-memory functionality.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,HikariCP,https://github.com/brettwooldridge/HikariCP,TRUE,High-performance JDBC connection pool.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,JDBI,https://github.com/jdbi/jdbi,TRUE,Convenient abstraction of JDBC.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Jedis,https://github.com/xetorthio/jedis,TRUE,"Small client for interaction with Redis, with methods for commands."
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Jest,https://github.com/searchbox-io/Jest,TRUE,Client for the Elasticsearch REST API.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,jetcd,https://github.com/justinsb/jetcd,TRUE,Client library for etcd.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Jinq,https://github.com/my2iu/Jinq,TRUE,Typesafe database queries via symbolic execution of Java 8 Lambdas
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,jOOQ,https://github.com/jOOQ/jOOQ,TRUE,Generates typesafe code based on SQL schema.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Leaf,https://github.com/Meituan-Dianping/Leaf,TRUE,Distributed ID generate service.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,MapDB,https://github.com/jankotek/mapdb,TRUE,Embedded database engine that provides concurrent collections backed on disk or in off-heap memory.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,MariaDB4j,https://github.com/vorburger/MariaDB4j,TRUE,Launcher for MariaDB that requires no installation or external dependencies.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Modality,https://github.com/arkanovicz/modality,TRUE,Lightweight ORM with database reverse engineering features.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Presto,https://github.com/prestosql/presto,TRUE,Distributed SQL query engine for big data.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,QueryStream,https://github.com/querystream/querystream,TRUE,Build JPA Criteria queries using a Stream-like API.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Querydsl,https://github.com/querydsl/querydsl,TRUE,Typesafe unified queries.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Realm,https://github.com/realm/realm-java,TRUE,"Mobile database to run directly inside phones, tablets or wearables."
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Redisson,https://github.com/redisson/redisson,TRUE,Allows for distributed and scalable data structures on top of a Redis server.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,requery,https://github.com/requery/requery,TRUE,"Modern, lightweight but powerful object mapping and SQL generator. Easily map to or create databases, or perform queries and updates from any Java-using platform."
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Speedment,https://github.com/speedment/speedment,TRUE,Database access library that utilizes Java 8's Stream API for querying.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,sql2o,https://github.com/aaberg/sql2o,TRUE,Thin JDBC wrapper that simplifies database access and provides simple mapping of ResultSets to POJOs.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Vibur DBCP,https://github.com/vibur/vibur-dbcp,TRUE,JDBC connection pool library with advanced performance monitoring capabilities.
Data,Data Management,Database,Database,Everything that simplifies interactions with the database.,Xodus,https://github.com/JetBrains/xodus,TRUE,Highly concurrent transactional schema-less and ACID-compliant embedded database.
Scientific/Engineering,Scientific/Engineering,Date and Time,Date and Time,Libraries related to handling date and time.,Almanac Converter,https://github.com/chrisengelsma/almanac-converter,TRUE,Simple conversion between different calendar systems.
Scientific/Engineering,Scientific/Engineering,Date and Time,Date and Time,Libraries related to handling date and time.,iCal4j,https://github.com/ical4j/ical4j,TRUE,Parse and build iCalendar
Scientific/Engineering,Scientific/Engineering,Date and Time,Date and Time,Libraries related to handling date and time.,ThreeTen-Extra,https://github.com/ThreeTen/threeten-extra,TRUE,Additional date-time classes that complement those in JDK 8.
Scientific/Engineering,Scientific/Engineering,Date and Time,Date and Time,Libraries related to handling date and time.,Time4J,https://github.com/MenoData/Time4J,TRUE,Advanced date and time library.
Introspection,Introspection,Dependency Injection,Dependency Injection,Libraries that help to realize the Inversion of Controlhttpsen.wikipedia.orgwikiInversionofcontrol paradigm.,Apache DeltaSpike,https://github.com/apache/deltaspike,TRUE,CDI extension framework.
Introspection,Introspection,Dependency Injection,Dependency Injection,Libraries that help to realize the Inversion of Controlhttpsen.wikipedia.orgwikiInversionofcontrol paradigm.,Dagger,https://github.com/google/dagger,TRUE,Compile-time injection framework without reflection.
Introspection,Introspection,Dependency Injection,Dependency Injection,Libraries that help to realize the Inversion of Controlhttpsen.wikipedia.orgwikiInversionofcontrol paradigm.,Feather,https://github.com/zsoltherpai/feather,TRUE,"Ultra-lightweight, JSR-330-compliant dependency injection library."
Introspection,Introspection,Dependency Injection,Dependency Injection,Libraries that help to realize the Inversion of Controlhttpsen.wikipedia.orgwikiInversionofcontrol paradigm.,Governator,https://github.com/Netflix/governator,TRUE,Extensions and utilities that enhance Google Guice.
Introspection,Introspection,Dependency Injection,Dependency Injection,Libraries that help to realize the Inversion of Controlhttpsen.wikipedia.orgwikiInversionofcontrol paradigm.,Guice,https://github.com/google/guice,TRUE,Lightweight and opinionated framework that completes Dagger.
Introspection,Introspection,Dependency Injection,Dependency Injection,Libraries that help to realize the Inversion of Controlhttpsen.wikipedia.orgwikiInversionofcontrol paradigm.,JayWire,https://github.com/vanillasource/jaywire,TRUE,Lightweight dependency injection framework.
Development,Development,Development,Development,Augmentation of the development process at a fundamental level.,AspectJ,https://git.eclipse.org/c/aspectj/org.aspectj,TRUE,Seamless aspect-oriented programming extension.
Development,Development,Development,Development,Augmentation of the development process at a fundamental level.,DCEVM,https://github.com/dcevm/dcevm,TRUE,JVM modification that allows unlimited redefinition of loaded classes at runtime.
Development,Development,Development,Development,Augmentation of the development process at a fundamental level.,HotswapAgent,https://github.com/HotswapProjects/HotswapAgent,TRUE,Unlimited runtime class and resource redefinition.
Development,Development,Development,Development,Augmentation of the development process at a fundamental level.,JavaParser,https://github.com/javaparser/javaparser,TRUE,"Parse, modify and generate Java code."
Development,Development,Development,Development,Augmentation of the development process at a fundamental level.,JavaSymbolSolver,https://github.com/javaparser/javasymbolsolver,TRUE,Symbol solver.
Development,Development,Development,Development,Augmentation of the development process at a fundamental level.,Manifold,https://github.com/manifold-systems/manifold,TRUE,"Re-energizes Java with powerful features like type-safe metaprogramming, structural typing and extension methods."
Development,Development,Development,Development,Augmentation of the development process at a fundamental level.,NoException,https://github.com/robertvazan/noexception,TRUE,Allows checked exceptions in functional interfaces and converts exceptions to Optional return.
Development,Development,Development,Development,Augmentation of the development process at a fundamental level.,SneakyThrow,https://github.com/rainerhahnekamp/sneakythrow,TRUE,Ignores checked exceptions without bytecode manipulation. Can also be used inside Java 8 stream operations.
Development,Development,Development,Development,Augmentation of the development process at a fundamental level.,Tail,https://github.com/kag0/tail,TRUE,Enable infinite recursion using tail call optimization.
Server,Distributed System,Distributed Applications,Distributed Applications,Augmentation of the development process at a fundamental level.,Apache Storm,https://github.com/apache/storm,TRUE,Realtime computation system.
Server,Distributed System,Distributed Applications,Distributed Applications,Augmentation of the development process at a fundamental level.,Apache ZooKeeper,https://github.com/apache/zookeeper,TRUE,"Coordination service with distributed configuration, synchronization, and naming registry for large distributed systems."
Server,Distributed System,Distributed Applications,Distributed Applications,Augmentation of the development process at a fundamental level.,Atomix,https://github.com/atomix/atomix,TRUE,Fault-tolerant distributed coordination framework.
Server,Distributed System,Distributed Applications,Distributed Applications,Augmentation of the development process at a fundamental level.,Dropwizard Circuit Breaker,https://github.com/mtakaki/dropwizard-circuitbreaker,TRUE,Circuit breaker design pattern for Dropwizard.
Server,Distributed System,Distributed Applications,Distributed Applications,Augmentation of the development process at a fundamental level.,Failsafe,https://github.com/jhalterman/failsafe,TRUE,Simple failure handling with retries and circuit breakers.
Server,Distributed System,Distributed Applications,Distributed Applications,Augmentation of the development process at a fundamental level.,Hazelcast,https://github.com/hazelcast/hazelcast,TRUE,Highly scalable in-memory datagrid with a free open-source version.
Server,Distributed System,Distributed Applications,Distributed Applications,Augmentation of the development process at a fundamental level.,JGroups,https://github.com/belaban/JGroups,TRUE,Toolkit for reliable messaging and cluster creation.
Server,Distributed System,Distributed Applications,Distributed Applications,Augmentation of the development process at a fundamental level.,Quasar,https://github.com/puniverse/quasar,TRUE,Lightweight threads and actors for the JVM.
Server,Distributed System,Distributed Applications,Distributed Applications,Augmentation of the development process at a fundamental level.,ScaleCube Services,https://github.com/scalecube/scalecube-services,TRUE,Embeddable Cluster-Membership library based on SWIM and gossip protocol.
Server,Distributed System,Distributed Applications,Distributed Applications,Augmentation of the development process at a fundamental level.,Zuul,https://github.com/Netflix/zuul,TRUE,"Gateway service that provides dynamic routing, monitoring, resiliency, security, and more."
Server,Distributed System,Distributed Transactions,Distributed Transactions,Distributed transactions provide a mechanism for ensuring consistency of data updates in the presence of concurrent access and partial failures.,Bitronix,https://github.com/bitronix/btm,TRUE,Simple but complete implementation of the JTA 1.1 API.
Server,Distributed System,Distributed Transactions,Distributed Transactions,Distributed transactions provide a mechanism for ensuring consistency of data updates in the presence of concurrent access and partial failures.,Narayana,https://github.com/jbosstm/narayana,TRUE,"Provides support for traditional ACID and compensation transactions, also complies with JTA, JTS and other standards."
Server,Distributed System,Distributed Transactions,Distributed Transactions,Distributed transactions provide a mechanism for ensuring consistency of data updates in the presence of concurrent access and partial failures.,Seata,https://github.com/seata/seata,TRUE,Delivers high performance and easy to use distributed transaction services under a microservices architecture.
Development,Development,Distribution,Distribution,Tools that handle the distribution of applications in native formats.,Capsule,https://github.com/puniverse/capsule,TRUE,"Simple and powerful packaging and deployment. A fat JAR on steroids, or a ""Docker for Java"" that supports JVM-optimized containers."
Development,Development,Distribution,Distribution,Tools that handle the distribution of applications in native formats.,IzPack,https://github.com/izpack/izpack,TRUE,Setup authoring tool for cross-platform deployments.
Development,Development,Distribution,Distribution,Tools that handle the distribution of applications in native formats.,packr,https://github.com/libgdx/packr,TRUE,"Packs JARs, assets and the JVM for native distribution on Windows, Linux and macOS."
Development,Development,Distribution,Distribution,Tools that handle the distribution of applications in native formats.,really-executable-jars-maven-plugin,https://github.com/brianm/really-executable-jars-maven-plugin,TRUE,Maven plugin for making self-executing JARs.
Parser,Parser,Document Processing,Document Processing,Libraries that assist with processing office document formats.,Apache POI,https://github.com/apache/poi,TRUE,Supports OOXML
Parser,Parser,Document Processing,Document Processing,Libraries that assist with processing office document formats.,documents4j,https://github.com/documents4j/documents4j,TRUE,API for document format conversion using third-party converters such as MS Word.
Parser,Parser,Document Processing,Document Processing,Libraries that assist with processing office document formats.,docx4j,https://github.com/plutext/docx4j,TRUE,Create and manipulate Microsoft Open XML files.
